N,nbFun,estParam,counteval,success,nbSplit,nbMerge,dt,ft,cdiv,recovery,tooYoung,mud,maxV
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
8, 0, recovery, 1900.000000, 1, 0, 0, 1.605937, 0.577152, 0.500000, 0, 10, 2, 10
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
7, 0, recovery, 1665.000000, 1, 0, 0, 1.512465, 0.518678, 0.500000, 0, 10, 2, 9
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 0, recovery, 1494.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
6, 2, recovery, 3267.000000, 1, 0, 0, 1.404559, 0.474736, 0.500000, 0, 10, 2, 8
